text,category,source,cleaned_text
"The then incumbent deputy governor, Barnabas Bala, had opted to go to the National Assembly having emerged as the APC’s candidate for the Southern Kaduna Senatorial district. But Bala died few months after he lost the election for the National Assembly seat.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,incumbent deputy governor barnabas bala opted go national assembly emerged apcs candidate southern kaduna senatorial district bala died months lost election national assembly seat
"Nevertheless, the selection of Hadiza Balarabe was the first time in the history of Kaduna State that a major political party will select a woman as running mate.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,nevertheless selection hadiza balarabe first time history kaduna state major political party select woman running mate
"Prior to becoming the deputy governor, Balarabe was the Executive Secretary of the Kaduna State Primary Health Care Development Agency, a position she had held since February 2016.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,prior becoming deputy governor balarabe executive secretary kaduna state primary health care development agency position held since february 2016
In that role she had overseen the Kaduna State Government’s programme to revitalise and strengthen primary health care as the core of health service delivery in the state.,Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,role overseen kaduna state governments programme revitalise strengthen primary health care core health service delivery state
"Under her watch, the State renovated and equipped 255 primary health centres with tools to assist better antenatal services and safer delivery. The agency also helped expanded vaccine coverage to protect children across the state.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,watch state renovated equipped 255 primary health centres tools assist better antenatal services safer delivery agency also helped expanded vaccine coverage protect children across state
"Also, before joining the service of Kaduna State, Hadiza Balarabe was the Director of Public Health in the Federal Capital Territory (FCT). She studied Medicine at the University of Maiduguri, and graduated in 1988. She was a Senior Registrar at the Ahmadu Bello University Teaching Hospital (ABUTH) before joining the services of the FCT in 2004.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,also joining service kaduna state hadiza balarabe director public health federal capital territory fct studied medicine university maiduguri graduated 1988 senior registrar ahmadu bello university teaching hospital abuth joining services fct 2004
"In 2019, El-Rufai supported Uba Sani to replace Shehu Sani as the Senator for the Kaduna Central Senatorial DMistrict, before also supporting Uba Sani in succeeding him as governor in 2023.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,2019 elrufai supported uba sani replace shehu sani senator kaduna central senatorial dmistrict also supporting uba sani succeeding governor 2023
Governor Sani was Mr El-Rufai’s political adviser when the latter served his first term as governor between 2015 and 2019.,Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,governor sani mr elrufais political adviser latter served first term governor 2015 2019
"Meanwhile, some religious clerics have reacted to the issue of Muslim-Muslim ticket for the Kaduna State governorship election in 2027.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,meanwhile religious clerics reacted issue muslimmuslim ticket kaduna state governorship election 2027
"A Kaduna based Pastor, Rev. Emmanuel Olorunmagba said, “as fate will have it for Kaduna State Governor, Senator Uba Sani, his Deputy will complete her two tenures by 2027. She did one term with former Governor El-Rufai and has done the second term with Uba Sani. Hence, she will no longer be able to contest as Deputy Governor based on the law.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,kaduna based pastor rev emmanuel olorunmagba said fate kaduna state governor senator uba sani deputy complete two tenures 2027 one term former governor elrufai done second term uba sani hence longer able contest deputy governor based law
"“Therefore, the situation has created opportunity for Senator Uba Sani of Kaduna State to prove that he is truly ready to undo the errors of his predecessor. And one of these major errors that needed to be corrected is this Muslim-Muslim ticket. Hence, we hope that Governor Uba Sani will do the needful by getting a Christian from Southern Kaduna as his next running mate”.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,therefore situation created opportunity senator uba sani kaduna state prove truly ready undo errors predecessor one major errors needed corrected muslimmuslim ticket hence hope governor uba sani needful getting christian southern kaduna next running mate
"In his own reaction, the Secretary of the Kaduna State chapter of Supreme Council for Shari’ah in Nigeria (SCSN), Alhaji AbdurRahman Hassan, noted that, “first of all democracy is a game of number, this is what is at play in Kaduna State. When former Governor Nasir Ahmad El-Rufai went for the Muslim-Muslim ticket, most of our Christian brothers in the state, more especially in Southern Kaduna did not vote for him. Yet he won without their votes.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,reaction secretary kaduna state chapter supreme council shariah nigeria scsn alhaji abdurrahman hassan noted first democracy game number play kaduna state former governor nasir ahmad elrufai went muslimmuslim ticket christian brothers state especially southern kaduna vote yet without votes
"“The stand of our Council, Supreme Council for Shariah in Nigeria (SCSN) Kaduna State Chapter), is: we will never go for anything contrary. After all, the population of Muslims in Plateau State is by far greater than Christian population in Kaduna State, yet there wasn’t any Muslim Deputy Governor in Plateau State right from the beginning of second republic.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,stand council supreme council shariah nigeria scsn kaduna state chapter never go anything contrary population muslims plateau state far greater christian population kaduna state yet wasnt muslim deputy governor plateau state right beginning second republic
"“No one is crying foul, why should there be any complain in Kaduna State, if Muslim-Muslim ticket is maintained? So, the politicians have the right to make their choices, but they shouldn’t forget that the electorate also have their rights.”",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,one crying foul complain kaduna state muslimmuslim ticket maintained politicians right make choices shouldnt forget electorate also rights
"Interestingly, political observers have noted that Governor Uba Sani appear to have a soft spot for a Christian Deputy Governor, come 2027. This, according to one of the political observers who pleaded anonymity is the fact that the governor will like to have a Christian deputy governor to penetrate the Christian community better as part of the state’s efforts to achieve peaceful coexistence between the two major religions.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,interestingly political observers noted governor uba sani appear soft spot christian deputy governor come 2027 according one political observers pleaded anonymity fact governor like christian deputy governor penetrate christian community better part states efforts achieve peaceful coexistence two major religions
“You can see Governor Uba Sani’s actions and body language towards Christians in the state is friendly. He is very close to them physically and spiritually. He personally attended Christmas carol on two occasions in the state. This is what his deputy should have done if she is a Christian so that the governor himself could attend to other state issues.,Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,see governor uba sanis actions body language towards christians state friendly close physically spiritually personally attended christmas carol two occasions state deputy done christian governor could attend state issues
"“Governor Uba Sani has been advising well-meaning residents of Kaduna State to checkmate the antics of ethnic and religious bigots, by living in peace, love and unity for overall progress and development of the state,” the source said.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,governor uba sani advising wellmeaning residents kaduna state checkmate antics ethnic religious bigots living peace love unity overall progress development state source said
"Daily Sun recalls that during the 2023 and 2024 Christmas festivities, Governor Uba Sani had attended the Christmas Carol of Six Lessons organised by the Kaduna State chapter of the Christian Association of Nigeria (CAN) at ECWA Good News, Narayi High Cost, Kaduna.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,daily sun recalls 2023 2024 christmas festivities governor uba sani attended christmas carol six lessons organised kaduna state chapter christian association nigeria ecwa good news narayi high cost kaduna
"This style of leadership, according to political observers, had never happened with a Muslim governor in the history of Kaduna, except by delegating their Christian deputy governors to represent them at such occasions.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,style leadership according political observers never happened muslim governor history kaduna except delegating christian deputy governors represent occasions
"Governor Sani who noted that there could be no development without peace and harmony, expressed happiness that everyone now lives freely without intimidation because of their tribal or religious affiliations in Kaduna State.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,governor sani noted could development without peace harmony expressed happiness everyone lives freely without intimidation tribal religious affiliations kaduna state
"According to the governor, he attended the Christmas Carol to celebrate with Christians because when he took the oath of office, he promised to treat everyone equally, irrespective of their religious, tribal, or political affiliations.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,according governor attended christmas carol celebrate christians took oath office promised treat everyone equally irrespective religious tribal political affiliations
"He expressed happiness that both Jama’atuI Nasril Islam (JNI) and CAN have been working together as one family to maintain peace in Kaduna State, which he described as an important achievement.",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,expressed happiness jamaatui nasril islam jni working together one family maintain peace kaduna state described important achievement
"The governor commended the Secretary of Jama’atu Nasril Islam (JNI) who attended the Christmas Carol with him, adding that “I can tell you that some people are not happy, but the fact remains that we took an oath, and those who are not happy may be the minority. The most important thing is that the majority are happy because we are working towards the development and progress of our state; for me, that is the key.”",Politics & Power,https://thesun.ng/kaduna-2027-scramble-for-deputy-governorship-seat-hots-up-as-groups-mount-pressure-on-gov-sani/,governor commended secretary jamaatu nasril islam jni attended christmas carol adding tell people happy fact remains took oath happy may minority important thing majority happy working towards development progress state key
"Tothose who do not understand the nitty-gritty of the undercurrents of President Bola Tinubu’s forging of alliances across regional cleavages and political spectrums ahead of the 2027 presidential election, his recent visit to Anambra State was a mere trip to ceremoniously inaugurate projects executed by the Governor, Professor Chukwuma Charles Soludo.",Politics & Power,https://thesun.ng/ndigbo-tinubus-anambra-visit-and-2027/,tothose understand nittygritty undercurrents president bola tinubus forging alliances across regional cleavages political spectrums ahead 2027 presidential election recent visit anambra state mere trip ceremoniously inaugurate projects executed governor professor chukwuma charles soludo
"But it was not. The visit was more than projects commissioning. Observers insist that ingrained in the visit was a pragmatic building of alliances, fellowship and support base ahead of the next round of elections.",Politics & Power,https://thesun.ng/ndigbo-tinubus-anambra-visit-and-2027/,visit projects commissioning observers insist ingrained visit pragmatic building alliances fellowship support base ahead next round elections
"Apparently determined to prevent in 2027 a repeat of the 2023 disastrous performance of his party, the All Progressives Congress (APC), in the South-East, the President, observers say, appears to have started in earnest to build bridges of friendship in the region, smoothening rough edges and marketing the imperativeness of his re-election to Ndigbo (Igbo race), using Anambra as a springboard.",Politics & Power,https://thesun.ng/ndigbo-tinubus-anambra-visit-and-2027/,apparently determined prevent 2027 repeat 2023 disastrous performance party progressives congress apc southeast president observers say appears started earnest build bridges friendship region smoothening rough edges marketing imperativeness reelection ndigbo igbo race using anambra springboard
"Watchers of South-East politics posit that President Tinubu aims for a mutually beneficial alliance and fraternity with the region, a sort of, to use a common Nigerian parlance, “I scratch your back, your scratch my back” kind of relationship that guarantees a win-win situation. In essence, President Tinubu is expected to attend to myriads of economic and infrastructural needs of Ndigbo while they in turn reciprocate with their votes in 2027.",Politics & Power,https://thesun.ng/ndigbo-tinubus-anambra-visit-and-2027/,watchers southeast politics posit president tinubu aims mutually beneficial alliance fraternity region sort use common nigerian parlance scratch back scratch back kind relationship guarantees winwin situation essence president tinubu expected attend myriads economic infrastructural needs ndigbo turn reciprocate votes 2027
"This, according to pundits is expected to solidify the president’s chances for overwhelming victory in the region in the next election.",Politics & Power,https://thesun.ng/ndigbo-tinubus-anambra-visit-and-2027/,according pundits expected solidify presidents chances overwhelming victory region next election
"Instructively, upon touching down at the Chinua Achebe Airport, Umueri, President Tinubu was enthusiastically received by Governor Soludo and the people of the state. The trademark hospitality of Ndigbo was handy as Anambra Traditional Rulers led by the Chairman of the State Traditional Rulers Council, Igwe Chidubem Iweka of Obosi, conferred on the President, the title of “Dike Si Mba’, which loosely translates to ‘Hero from another land’",Politics & Power,https://thesun.ng/ndigbo-tinubus-anambra-visit-and-2027/,instructively upon touching chinua achebe airport umueri president tinubu enthusiastically received governor soludo people state trademark hospitality ndigbo handy anambra traditional rulers led chairman state traditional rulers council igwe chidubem iweka obosi conferred president title dike si mba loosely translates hero another land
"And in rare display of a pragmatism and paradigm shift in party politics, the president not only lauded Soludo’s performance in office but tacitly endorsed his re-election, despite the APC having a candidate in the person of a multi-billionaire businessman, Prince Nicholas Ukachukwu, for the November Anambra governorship election.",Politics & Power,https://thesun.ng/ndigbo-tinubus-anambra-visit-and-2027/,rare display pragmatism paradigm shift party politics president lauded soludos performance office tacitly endorsed reelection despite apc candidate person multibillionaire businessman prince nicholas ukachukwu november anambra governorship election
"“Your son, Soludo is my very good friend. He remains my friend and we will keep working together”, the President had told Ndi Anambra during a Town Hall meeting featuring prominent indigenes of the state, including former Commonwealth Secretary-General, Chief Emeka Anyaoku in whose honour he had earlier commissioned a building project at the Nnamdi Azikiwe University, Awka, housing the Emeka Anyaoku Institute for International Studies and Diplomacy.",Politics & Power,https://thesun.ng/ndigbo-tinubus-anambra-visit-and-2027/,son soludo good friend remains friend keep working together president told ndi anambra town hall meeting featuring prominent indigenes state including former commonwealth secretarygeneral chief emeka anyaoku whose honour earlier commissioned building project nnamdi azikiwe university awka housing emeka anyaoku institute international studies diplomacy
"In what analysts say could significantly reconfigure Anambra’s voting pattern in 2027, Governor Soludo was swift in announcing President Tinubu’s adoption as presidential candidate for the 2027 election by his party, the All Progressives Grand Alliance (APGA). This implies that APGA will not field a presidential candidate in 2027.",Politics & Power,https://thesun.ng/ndigbo-tinubus-anambra-visit-and-2027/,analysts say could significantly reconfigure anambras voting pattern 2027 governor soludo swift announcing president tinubus adoption presidential candidate 2027 election party progressives grand alliance apga implies apga field presidential candidate 2027
"According to Soludo “In 2011, before I joined APGA in 2013, the party took an official position to support and collaborate with the ruling political party and government at the centre. That year, APGA adopted the then-sitting president as its presidential candidate. That policy has not changed.",Politics & Power,https://thesun.ng/ndigbo-tinubus-anambra-visit-and-2027/,according soludo 2011 joined apga 2013 party took official position support collaborate ruling political party government centre year apga adopted thensitting president presidential candidate policy changed
"“Coincidentally, Mr. President, the current government at the centre, also professes progressivism. As Nigeria’s foremost progressive party, APGA is ideologically and strategically aligned with the centre. Those in the APC are our brothers and sisters.",Politics & Power,https://thesun.ng/ndigbo-tinubus-anambra-visit-and-2027/,coincidentally mr president current government centre also professes progressivism nigerias foremost progressive party apga ideologically strategically aligned centre apc brothers sisters
"“In preparation for this visit, some raised concerns about making it a partisan event. But I insisted the APC in Anambra be allowed to come out in their colours and welcome the president, all in the spirit of progressivism. We are progressives together. Here in Anambra, we know who leads the progressive movement,” he added.",Politics & Power,https://thesun.ng/ndigbo-tinubus-anambra-visit-and-2027/,preparation visit raised concerns making partisan event insisted apc anambra allowed come colours welcome president spirit progressivism progressives together anambra know leads progressive movement added
"In what looked like an endorsement of Soludo’s position, elder statesman, Chief Anyaoku, said “I have strong confidence in President Tinubu’s ability to navigate Nigeria through its current socio-economic and security challenges. Your Excellency’s records as a NADECO champion of the return of democracy to our country in 1999 inspire my confidence that you will successfully steer the ship of our country through its present serious challenges, including the underperforming economy, which breeds massive poverty and widespread insecurity, to the destination that we all desire.”",Politics & Power,https://thesun.ng/ndigbo-tinubus-anambra-visit-and-2027/,looked like endorsement soludos position elder statesman chief anyaoku said strong confidence president tinubus ability navigate nigeria current socioeconomic security challenges excellencys records nadeco champion return democracy country 1999 inspire confidence successfully steer ship country present serious challenges including underperforming economy breeds massive poverty widespread insecurity destination desire
"Political analysts point out that in endorsing Soludo’s second term, the president was forthright in his assessment of the strength of the APC in Anambra and the marketability of its candidate in the November election when juxtaposed with Governor Soludo’s performance and popularity.",Politics & Power,https://thesun.ng/ndigbo-tinubus-anambra-visit-and-2027/,political analysts point endorsing soludos second term president forthright assessment strength apc anambra marketability candidate november election juxtaposed governor soludos performance popularity
"“This game is called politics and only the deft and calculative get it right. Putting party politics aside, what Soludo’s endorsement of Mr. President’s second term and Mr President’s endorsement of the Governor’s second term translate to is that the Governor will be partnering with the president to deliver federal projects to Anambra in addition tostaving off the deployment of so- called federal might in the November gubernatorial election in the state, while in return, President Tinubu will benefit from Governor Soludo’s popularity in terms of securing re- election votes in Anambra in 2027,” Dr Ifeadi Umeofor, an indigene of Anambra and a social affairs commentator told Daily Sun.",Politics & Power,https://thesun.ng/ndigbo-tinubus-anambra-visit-and-2027/,game called politics deft calculative get right putting party politics aside soludos endorsement mr presidents second term mr presidents endorsement governors second term translate governor partnering president deliver federal projects anambra addition tostaving deployment called federal might november gubernatorial election state return president tinubu benefit governor soludos popularity terms securing election votes anambra 2027 dr ifeadi umeofor indigene anambra social affairs commentator told daily sun
"Chukwuemerie Uduchukwu, an Abuja- based writer shares Dr. Umeofor’s sentiment. According to him, “Tinubu, with his eyes firmly set on securing a second term in 2027, understands the strategic importance of aligning with a party and a governor who can deliver votes. Anambra’s electoral weight in the South-East, a region where the APC struggles to gain traction, makes this alignment even more critical.”",Politics & Power,https://thesun.ng/ndigbo-tinubus-anambra-visit-and-2027/,chukwuemerie uduchukwu abuja based writer shares dr umeofors sentiment according tinubu eyes firmly set securing second term 2027 understands strategic importance aligning party governor deliver votes anambras electoral weight southeast region apc struggles gain traction makes alignment even critical
"Following Tinubu’s Anambra visit, and an earlier one to Enugu, reliable sources told Daily Sun that governments of the remaining South-East states are working out arrangements for presidential visits for projects commissioning where the Anambra scenario- the governors endorsements of Tinubu’s re-election and the President’s reciprocal endorsement of their own re-election, irrespective of parties, as well as his announcement of federal projects for the states- will be re-enacted.",Politics & Power,https://thesun.ng/ndigbo-tinubus-anambra-visit-and-2027/,following tinubus anambra visit earlier one enugu reliable sources told daily sun governments remaining southeast states working arrangements presidential visits projects commissioning anambra scenario governors endorsements tinubus reelection presidents reciprocal endorsement reelection irrespective parties well announcement federal projects states reenacted
"Daily Sun equally gathered that, using the president’s Anambra visit as a template- in that Tinubu acceded to virtually all of Governor Soludo’s demands-a delegation of Igbo leaders would in the coming weeks pay the president a visit with a shopping list which would include demand to revive the long-abandoned plans for two strategic seaports in the region—the Obeaku Ndoki Port in Abia State and the Oseakwa Seaport in Ihiala, Anambra State.",Politics & Power,https://thesun.ng/ndigbo-tinubus-anambra-visit-and-2027/,daily sun equally gathered using presidents anambra visit template tinubu acceded virtually governor soludos demandsa delegation igbo leaders would coming weeks pay president visit shopping list would include demand revive longabandoned plans two strategic seaports regionthe obeaku ndoki port abia state oseakwa seaport ihiala anambra state
"Among the projects the president inaugurated during his visit to Anambra were the new Anambra Government House, the Solution Fun City, the eight-lane dual highway leading to the new government building, and the Light of the Nation Tower.",Politics & Power,https://thesun.ng/ndigbo-tinubus-anambra-visit-and-2027/,among projects president inaugurated visit anambra new anambra government house solution fun city eightlane dual highway leading new government building light nation tower
"Daily Sun recalls that President Tinubu, had, in a speech at a town hall meeting at Alex Ekwueme Square in Awka, the Anambra State capital, after inaugurating the projects, made a firm promise of tackling erosion menace in the state. He also pledged to link Kogi and Anambra states through a road infrastructure to facilitate access and shorten travel time from Anambra State to the South-South and Abuja.",Politics & Power,https://thesun.ng/ndigbo-tinubus-anambra-visit-and-2027/,daily sun recalls president tinubu speech town hall meeting alex ekwueme square awka anambra state capital inaugurating projects made firm promise tackling erosion menace state also pledged link kogi anambra states road infrastructure facilitate access shorten travel time anambra state southsouth abuja
"President Tinubu equally announced the reintegration of Anambra State into the national railway system, and restoring the state to the nation’s gas master plan.",Politics & Power,https://thesun.ng/ndigbo-tinubus-anambra-visit-and-2027/,president tinubu equally announced reintegration anambra state national railway system restoring state nations gas master plan
"Whether the promises, President Tinubu, the Dike Si Mba 1 of Ndigbo, made to Ndi Anambra nay Ndigbo during his visit will eventually berth on the shores of reality and whether the political alliance he appears to be forging with them will indeed endure and be mutually beneficial will be open in the public domain in the coming months.",Politics & Power,https://thesun.ng/ndigbo-tinubus-anambra-visit-and-2027/,whether promises president tinubu dike si mba 1 ndigbo made ndi anambra nay ndigbo visit eventually berth shores reality whether political alliance appears forging indeed endure mutually beneficial open public domain coming months
The group aims to secure victory for the All Progressives Congress (APC) in the 2027 elections.,Politics & Power,https://thesun.ng/kebbi-leaders-reunite-at-tinubu-kaura-two-term-group-inauguration/,group aims secure victory progressives congress apc 2027 elections
"Governor Idris, during the inauguration, announced plans to establish similar groups at local government and ward levels to mobilise grassroots support. “This organisation is not a rival to APC leadership but will work hand-in-hand towards our goals,” he said, stressing trust as key to success. He urged all groups to operate under the Tinubu/Kaura umbrella for unity, adding, “Kebbi belongs to Tinubu and Kaura.”",Politics & Power,https://thesun.ng/kebbi-leaders-reunite-at-tinubu-kaura-two-term-group-inauguration/,governor idris inauguration announced plans establish similar groups local government ward levels mobilise grassroots support organisation rival apc leadership work handinhand towards goals said stressing trust key success urged groups operate tinubukaura umbrella unity adding kebbi belongs tinubu kaura
"Idris highlighted his administration’s achievements, noting, “Each of our previous governors served two terms of eight years; Kaura deserves the same opportunity.”",Politics & Power,https://thesun.ng/kebbi-leaders-reunite-at-tinubu-kaura-two-term-group-inauguration/,idris highlighted administrations achievements noting previous governors served two terms eight years kaura deserves opportunity
"Minister Bagudu clarified that Idris (Kaura) was not initially a gubernatorial contender in 2023, emerging after Abubakar Malami’s withdrawal and outperforming Yahaya Abdullahi and Abubakar Gari-Mala. Bagudu urged stakeholders to move past old rivalries for Kebbi’s progress.",Politics & Power,https://thesun.ng/kebbi-leaders-reunite-at-tinubu-kaura-two-term-group-inauguration/,minister bagudu clarified idris kaura initially gubernatorial contender 2023 emerging abubakar malamis withdrawal outperforming yahaya abdullahi abubakar garimala bagudu urged stakeholders move past old rivalries kebbis progress
"Senator Aliero, reflecting on his return to APC from PDP with Yahyah and Maidoki, said, “We left APC due to some reasons but returned because of our good relationship with President Tinubu and the good work of Kauran Gwandu.” He noted their role as APC founders and praised Idris for delivering democratic dividends.",Politics & Power,https://thesun.ng/kebbi-leaders-reunite-at-tinubu-kaura-two-term-group-inauguration/,senator aliero reflecting return apc pdp yahyah maidoki said left apc due reasons returned good relationship president tinubu good work kauran gwandu noted role apc founders praised idris delivering democratic dividends
"APC State Chairman Abubakar Kana-Zuru welcomed the defecting senators, assuring fair treatment. He commended Idris but criticised some aides for failing to extend democratic benefits to constituents, warning of consequences for underperforming officials. Faruk Musa Yaro-Enabo, Executive Chairman of Kebbi State Pilgrims Welfare Agency, hailed Tinubu’s appointment of two Kebbi ministers and urged support for the administration.",Politics & Power,https://thesun.ng/kebbi-leaders-reunite-at-tinubu-kaura-two-term-group-inauguration/,apc state chairman abubakar kanazuru welcomed defecting senators assuring fair treatment commended idris criticised aides failing extend democratic benefits constituents warning consequences underperforming officials faruk musa yaroenabo executive chairman kebbi state pilgrims welfare agency hailed tinubus appointment two kebbi ministers urged support administration
