,paragraph,category,source
10,"“Mitigating maritime threats in this vital region requires a broad spectrum of initiatives, not limited to international collaboration but fortifying defence capabilities in the marine domain. The NIS plays a pivotal role in maritime border security while ensuring that foreign terrorist fighters and other criminal elements do not exploit our territorial integrity.",National,https://thesun.ng/nis-mobilises-customs-police-to-tackle-terror-threats/
11,"“Passenger facilitation and control of travel documents are the root of all counter-terrorist interventions. We will continue to prioritize cooperation, professionalism, and deployment of cutting-edge technologies in the surveillance and management of our borders.",National,https://thesun.ng/nis-mobilises-customs-police-to-tackle-terror-threats/
12,"“Our gathering shows our commitment to AIMS 2050 and ECOWAS’s Gulf of Guinea strategy. We aim to create a peaceful maritime environment to maximize blue economy potential and achieve social, environmental, and economic goals in the Gulf of Guinea. The Nigeria Immigration Service is dedicated to utilising API/PNR for better intelligence sharing and strengthen maritime security though robust visa administration where applicable.",National,https://thesun.ng/nis-mobilises-customs-police-to-tackle-terror-threats/
13,“We recognize its benefits for air-border security and will expand our Border Management Information System (BMIS) to marine frontiers to counter international threats in the GoG.,National,https://thesun.ng/nis-mobilises-customs-police-to-tackle-terror-threats/
14,"“Our threats are transnational, and so must be our response. No agency or government involved in border security and migration management can operate independently. The NIS is committed to collaborating with regional and global partners to facilitate safe, orderly, and regular migration at sea without compromising security.",National,https://thesun.ng/nis-mobilises-customs-police-to-tackle-terror-threats/
15,"“Let us conclude this workshop with clear action plans, stronger partnerships, and a renewed determination to secure the Gulf of Guinea for prosperity and peace.",National,https://thesun.ng/nis-mobilises-customs-police-to-tackle-terror-threats/
16,"As the Nigeria Immigration Service awaits the compendium of good practices from this workshop, it is envisaged that the compilation should focus on strengthening cooperation among states, adhering to relevant international conventions and protocols, establishing joint task forces and intelligence fusion centers, building capacity, and deployment of advance technology as outlined in the Yaounde Code of Conduct 2013 and the ECOWAS Integrated Maritime Strategy.",National,https://thesun.ng/nis-mobilises-customs-police-to-tackle-terror-threats/
17,"Similarly, the Comptroller General of the Nigeria Customs Service, Mr. Adewale Adeniyi, emphasized the need to close existing gaps in the country’s financial system, noting that terrorists have exploited these loopholes to fund their activities.",National,https://thesun.ng/nis-mobilises-customs-police-to-tackle-terror-threats/
18,"Speaking to journalists at the workshop, the Inspector General of Police, Mr. Kayode Egbetokun, disclosed that the Police have finalised plans to strengthen marine security operations.",National,https://thesun.ng/nis-mobilises-customs-police-to-tackle-terror-threats/
19,"Minister for Interior, Dr. Olubunmi Tunji-Ojo, while declaring the event opened, thanked the NIS for taking the lead in the move to review the country’s border strategic policy. He emphasised the importance of border security in the general wellbeing of Nigerians, while reiterating the readiness of the federal government to take difficult decisions in protecting the Nigerian border.",National,https://thesun.ng/nis-mobilises-customs-police-to-tackle-terror-threats/
20,"The gathering has in attendance, security and intelligence agent from Italy, Philippines, Mauritius, Togo, Britain, Cameroun, Ghana, Cote d’Ivoire, Benin Republic, Sierra Leone, Sao Tome, Germany and Denmark.",National,https://thesun.ng/nis-mobilises-customs-police-to-tackle-terror-threats/
21,ByChristopher Oji,National,https://thesun.ng/dispatch-rider-who-bolted-with-n34m-arrested/
22,"Adispatch rider, who bolted with medical equipment valued at N34m, has been tracked and arrested by police detectives attached to the Zone 2 Police Command Headquarters, Onikan-Lagos.",National,https://thesun.ng/dispatch-rider-who-bolted-with-n34m-arrested/
23,"in a statement by theZonal Police PublicRelations Officer (ZPPRO), CSP Ayuba T. Umma, explained that the suspect was contracted by an Osun-based medical doctor to deliver the equipment from Ikotun and Ikeja Lagos to Idumota, for onward delivery to a client in Zamfara State.",National,https://thesun.ng/dispatch-rider-who-bolted-with-n34m-arrested/
24,"According to the statement, the medical doctor,Ajefolakemi John of Iloromu Quarters, Ile-Ife, gave the job to the suspect on April 15, 2025, only to discover that he had made away with the equipment, adding that he had since then been out of reach, as all efforts to reach him proved abortive.",National,https://thesun.ng/dispatch-rider-who-bolted-with-n34m-arrested/
25,"To compound it all, according to Ajefolakemi, the suspect’s known telephone lines were all switched off, prompting him to petition the Assistant Inspector-General of Police in charge of Zone 2 Command, AIG AdegokeFayoade, who directed the Zonal Anti-crime Unit to embark on discreet investigation, with the ultimate goal of arresting the suspect.",National,https://thesun.ng/dispatch-rider-who-bolted-with-n34m-arrested/
26,"The investigating team swung into action and tracked the suspect to Adoka Community in Benue State, and eventually apprehended him in his hideout at Ugbokpo Community.",National,https://thesun.ng/dispatch-rider-who-bolted-with-n34m-arrested/
27,"All the equipment, comprising a Mindray SV 300 laptop ventilator XI; Mindray 3-part hematology analyzer XI; Mindray patient monitor X2; patient monitor trolley X2; Zoncare 12 lead ECG XI; and Mindray DP 10 laptop ultrasound XI, were recovered.",National,https://thesun.ng/dispatch-rider-who-bolted-with-n34m-arrested/
28,"The only missing item was a Mindray DP 10 laptop-ultrasound, valued at N3,400,000.00k, which the suspect claimed he sold to one Chukwudi Eyinaya in Mushin for N1m.",National,https://thesun.ng/dispatch-rider-who-bolted-with-n34m-arrested/
29,"However, in his confessional statement to the police, the suspect confessed that the remaining items are intact, and kept in his sister’s custody in Ihiala area of Anambra State.",National,https://thesun.ng/dispatch-rider-who-bolted-with-n34m-arrested/
30,"The ZPPRO stated that on completion of the ongoing investigation, the suspect would be charged to court.",National,https://thesun.ng/dispatch-rider-who-bolted-with-n34m-arrested/
31,"FromAgaju Madugba, Katsina",National,https://thesun.ng/katsina-police-rescue-5-kidnap-victims/
32,TheKatsina State police command has rescued five kidnap victims from terrorists on Monday.,National,https://thesun.ng/katsina-police-rescue-5-kidnap-victims/
33,"A statement yesterday,by Kastina state Police Public Relations Officer (PPRO), DSP Abubakar Sadiq Aliyu, said that the Faskari Divisional Police Headquarters, Faskari Local Government Area, received a distress call regarding a highway attack by suspected bandits at Unguwar Basau, along the Funtua-Gusau road, Faskari.",National,https://thesun.ng/katsina-police-rescue-5-kidnap-victims/
34,"The statement said,“the suspected bandits attacked two vehicles: a Hummer bus with number plate T0 510 KN and a white Mendez truck with registration number:LFA 508 YR.",National,https://thesun.ng/katsina-police-rescue-5-kidnap-victims/
35,"“Upon receipt of the report, APC patrol team promptly responded to the scene, engaging the bandits in a gun battle where the assailants were overpowered due to superior tactics and firepower, as all five kidnap victims, two drivers and three passengers, were successfully rescued.",National,https://thesun.ng/katsina-police-rescue-5-kidnap-victims/
36,“Four of the victims sustained injuries and were immediately rushed to Sheme PHC for immediate medical attention and they are responding to treatment.,National,https://thesun.ng/katsina-police-rescue-5-kidnap-victims/
37,"“ Commissioner of Police,Bello Shehu, commends the operatives for their bravery and swift response as he charges them to sustain efforts in the fight against banditry in the state.",National,https://thesun.ng/katsina-police-rescue-5-kidnap-victims/
38,“Investigation is ongoing and further developments will be communicated accordingly.”,National,https://thesun.ng/katsina-police-rescue-5-kidnap-victims/
39,"FromJude Chinedu,Enugu",National,https://thesun.ng/free-28-arrest-10-suspects-in-enugu/
40,TheEnugu State Police Command has rescued 28 kidnapped victims and arrested 10 suspects.,National,https://thesun.ng/free-28-arrest-10-suspects-in-enugu/
41,"Also, the command also recovered firearms, ammunition, vehicles, and other exhibits in a series of coordinated anti-crime operations across the state.",National,https://thesun.ng/free-28-arrest-10-suspects-in-enugu/
42,"In a statement by Enugu state police public relations officer,Daniel Ndukwe, he explained that the successful operations were carried out under the directive ofCommissioner of Police, Mamman Giwa.",National,https://thesun.ng/free-28-arrest-10-suspects-in-enugu/
43,"“As part of sustained efforts to rid Enugu State of unrepentant violent criminals, operatives of the state police command, under the directive of CP Mamman Bitrus Giwa, have successfully rescued 28 kidnapped victims, arrested 10male suspects, and recovered firearms, ammunition, money , vehicles, motorcycles, and other exhibits in multiple coordinated operations.",National,https://thesun.ng/free-28-arrest-10-suspects-in-enugu/
44,"“One of the major breakthroughs came on May 18, 2025, around 6:30 pm., when operatives attached to Umumba Police Division, working closely with Neighbourhood Watch groups, Forest Guards, and local community members, rescued four kidnap victims, two males and two females, along the Umumba-Ndiuno-Aguoba Road in Ezeagu LGA.",National,https://thesun.ng/free-28-arrest-10-suspects-in-enugu/
45,“Four male suspects linked to the crime were immediately arrested and are currently assisting with ongoing investigations.,National,https://thesun.ng/free-28-arrest-10-suspects-in-enugu/
46,"“Also on May 18, at about 6:34 pm., officers from 9th Mile Division, responded to a distress call and rescued a yet-to-be-identified suspect from a mob after he and three others attempted to kidnap a woman.",National,https://thesun.ng/free-28-arrest-10-suspects-in-enugu/
47,"“The suspect and three others had attempted to kidnap a woman, who raised the alarm and was abandoned by the suspects. The rearrested suspect, who was severely beaten by the mob, was taken to hospital for treatment and he is being investigated further.",National,https://thesun.ng/free-28-arrest-10-suspects-in-enugu/
48,"“On May 17, another operation was conducted by operatives from Okpuje Police Division in collaboration with Neighbourhood Watch and Forest Guards. This happened in a forest bordering Enugu and Kogi states.",National,https://thesun.ng/free-28-arrest-10-suspects-in-enugu/
49,"“During the operation, they intercepted two men found with ₦150,000.00 and ₦70,000.00 respectively, intended for ransom payments, as well as loaves of bread and drinks menacingly requested by the kidnappers.",National,https://thesun.ng/free-28-arrest-10-suspects-in-enugu/
50,"“When the operatives encountered resistance from armed kidnappers, they responded with superior firepower, forcing the criminals to flee, abandoning their victims and some weapons.",National,https://thesun.ng/free-28-arrest-10-suspects-in-enugu/
51,“The victims were rescued unhurt and the exhibits recovered. Efforts to track down the fleeing suspects are ongoing.,National,https://thesun.ng/free-28-arrest-10-suspects-in-enugu/
52,"“In another coordinated operation on May 14, police operatives from Igbo-Eze North Division, supported by the military and Neighbourhood Watch, rescued 21 victims in Amaka-Okpodu community, Kogi State.",National,https://thesun.ng/free-28-arrest-10-suspects-in-enugu/
53,"“The victims, some of whom were returning from a traditional marriage ceremony, had been allegedly abducted on May 10, 2025, along Iyionu-Aguibeje Road in Igbo-Eze North LGA by hooded armed men.",National,https://thesun.ng/free-28-arrest-10-suspects-in-enugu/
54,"“Five suspects were arrested based on credible intelligence, and three firearms were recovered. A minibus and four motorcycles belonging to the victims were also retrieved.",National,https://thesun.ng/free-28-arrest-10-suspects-in-enugu/
55,"“Another operation on May 13, 2025, at about 9:45 pm, the Anti-Kidnapping Tactical Squad rescued a victim along the Enugu-Port Harcourt Expressway and recover his Toyota Camry.",National,https://thesun.ng/free-28-arrest-10-suspects-in-enugu/
56,"“A white Toyota Corolla with registration number:ENU 703 LP, used by the suspects and a Lexus 330 Jeep abandoned at the kidnapping scene in Premier Layout, Independence Layout, Enugu, were also recovered.",National,https://thesun.ng/free-28-arrest-10-suspects-in-enugu/
57,"“Commending the efforts of his men and collaborating agencies, Mamman Giwa reaffirmed his resolve to rid the state of violent crime.",National,https://thesun.ng/free-28-arrest-10-suspects-in-enugu/
58,"“He reaffirms the command’s commitment to make Enugu state safer and more secured by rooting out violent criminals and their activities, urging residents to remain law-abiding, vigilant, and cooperative with police and other law enforcement agencies,” the statement concluded.",National,https://thesun.ng/free-28-arrest-10-suspects-in-enugu/
59,"FromTaiwo Oluwadare,Ibadan",National,https://thesun.ng/policemans-stray-bullet-kills-waec-candidate-in-ibadan/
60,Astudent on his way to sit for the West African Examinations Council (WAEC) exams has been killed by stray bullet from a policeman.,National,https://thesun.ng/policemans-stray-bullet-kills-waec-candidate-in-ibadan/
61,"Witnessesreported that the officer, in pursuit of a fleeing vehicle along the busy Gbagi Market Road, opened fire in an attempt to stop the moving vehicle.",National,https://thesun.ng/policemans-stray-bullet-kills-waec-candidate-in-ibadan/
62,"One of the bullets allegedly missed its target and struck a schoolboy, who was riding on his father’s motorcycle alongside his twin brother.",National,https://thesun.ng/policemans-stray-bullet-kills-waec-candidate-in-ibadan/
63,"Daily Sun gathered that the boy was immediately rushed to Welfare Hospital, but he was confirmeddead on arrival by doctorson duty.According to bystanders, the deceased and his twin sister were en route to their examination centre at the time of the incident.",National,https://thesun.ng/policemans-stray-bullet-kills-waec-candidate-in-ibadan/
64,"Angry traders and passersby at the scene in a protest took the boy’s body to the Oyo State Secretariat, demanding immediate justice and sought an audience with Governor Seyi Makinde.",National,https://thesun.ng/policemans-stray-bullet-kills-waec-candidate-in-ibadan/
65,"In a video presently circulating online, security personnel were seen attempting to control the growing crowd, while sympathizers called for transparency, accountability, and urgent reform in police engagement protocols in public places.",National,https://thesun.ng/policemans-stray-bullet-kills-waec-candidate-in-ibadan/
66,"As of press time, neither the Oyo state police command nor the state government had issuedstatement concerningthe murder of the boy.",National,https://thesun.ng/policemans-stray-bullet-kills-waec-candidate-in-ibadan/
67,ByLukman Olabiyi,National,https://thesun.ng/lagos-shuts-4-orphanages-over-trafficking-illegal-adoptions/
68,"LagosState Government has shut down four orphanages allegedlyinvolved in illegal activities, including baby trafficking and unauthorised adoptions.",National,https://thesun.ng/lagos-shuts-4-orphanages-over-trafficking-illegal-adoptions/
69,"This was revealed by the Commissioner for Youth and Social Development,Mobolaji Abubakre Ogunlende, during the annual ministerial press briefing held to mark Governor Babajide Sanwo-Olu’s sixth year in office.",National,https://thesun.ng/lagos-shuts-4-orphanages-over-trafficking-illegal-adoptions/
70,"According to the Commissioner, the affected facilities include: God’s Time Orphanage in Igando, which was closed due to violations of the Child Rights Law, improper registration, and mismanagement.",National,https://thesun.ng/lagos-shuts-4-orphanages-over-trafficking-illegal-adoptions/
71,Lifetime Changer Orphanage in FESTAC was specifically shut down for its involvement in trafficking babies. Other unnamed organisations were also found to be conducting adoption procedures without following legal protocols.,National,https://thesun.ng/lagos-shuts-4-orphanages-over-trafficking-illegal-adoptions/
72,"“We have officers who go out regularly and we receive credible information as a government to protect these children. Once we verify these reports, we take swift action. That’s why these facilities were shut down,” Ogunlende stated.",National,https://thesun.ng/lagos-shuts-4-orphanages-over-trafficking-illegal-adoptions/
73,He urged orphanage operators to adhere strictly to the guidelines set by the Ministry and encouraged them to approach the Ministry for proper guidance in setting up and managing orphanages.,National,https://thesun.ng/lagos-shuts-4-orphanages-over-trafficking-illegal-adoptions/
74,"Despite these shutdowns, the Commissioner disclosed that the state has approved the establishment of more orphanages in the past year. A total of 68 orphanages were fully registered, while 45 others received provisional approval after undergoing rigorous screening to ensure they meet basic standards. These facilities are intended to support government-owned homes in providing care for vulnerable children.",National,https://thesun.ng/lagos-shuts-4-orphanages-over-trafficking-illegal-adoptions/
75,"Reaffirming the administration’s commitment, Ogunlende said, “Governor Sanwo-Olu’s government is dedicated to raising children in safe and conducive environments where they can receive proper care and attention.”",National,https://thesun.ng/lagos-shuts-4-orphanages-over-trafficking-illegal-adoptions/
76,"The commissioner also highlighted significant support for Persons With Disabilities (PWDs) over the past year, noting that 1,000 individuals received empowerment through financial support, skills acquisition, vocational tools, and healthcare access via the Lagos State Office for Disability Affairs (LASODA).",National,https://thesun.ng/lagos-shuts-4-orphanages-over-trafficking-illegal-adoptions/
77,"Some key interventions included the disbursement of ₦30 million to 150 senior citizens with disabilities, 100 vulnerable PWDs, and several advocacy groups such as Dyslexia Nigeria, the National Association for the Blind, and the Down Syndrome Association.",National,https://thesun.ng/lagos-shuts-4-orphanages-over-trafficking-illegal-adoptions/
78,"In a bid to foster entrepreneurship among PWDs, 100 beneficiaries were trained and supported with business tools such as cookers, fish tanks, sewing machines, and freezers.",National,https://thesun.ng/lagos-shuts-4-orphanages-over-trafficking-illegal-adoptions/
79,"Civil servants with disabilities also received assistive equipment, including motorized wheelchairs, laptops with JAWS software, scooters, and prosthetic aids.",National,https://thesun.ng/lagos-shuts-4-orphanages-over-trafficking-illegal-adoptions/
80,"Further initiatives involved free oral care for children with disabilities, distribution of manual wheelchairs and assistive devices, renovation of inclusive schools, and provision of learning aids.",National,https://thesun.ng/lagos-shuts-4-orphanages-over-trafficking-illegal-adoptions/
81,"LASODA also organized events such as talent shows, quizzes, and an “Ability Expo” to showcase the talents of people with disabilities.",National,https://thesun.ng/lagos-shuts-4-orphanages-over-trafficking-illegal-adoptions/
82,"On youth empowerment, Ogunlende announced that over 85,000 young people benefited from various leadership, entrepreneurship, digital, and vocational training programs in the past year.",National,https://thesun.ng/lagos-shuts-4-orphanages-over-trafficking-illegal-adoptions/
83,"He spotlighted the LAG-UP Project, a tech-based empowerment initiative in partnership with GFA Technologies, which has trained 45,806 youths in over 84 digital and creative skills. So far, 23,305 participants have completed the training and earned certifications.",National,https://thesun.ng/lagos-shuts-4-orphanages-over-trafficking-illegal-adoptions/
84,"In vocational training, 4,042 youths — 3,200 females and 842 males — were equipped with skills in shoemaking, tailoring, carpentry, tiling, software development, and more, in collaboration with private sector partners.",National,https://thesun.ng/lagos-shuts-4-orphanages-over-trafficking-illegal-adoptions/
85,"He also noted the success of the IBILE Youth Academy, which trained 500 young leaders to promote leadership and reorientation across the state.",National,https://thesun.ng/lagos-shuts-4-orphanages-over-trafficking-illegal-adoptions/
86,ByChristopher Oji,National,https://thesun.ng/family-alerts-on-reallocation-of-late-bizmans-property-by-lagos-land-bureau/
87,"Familyof the late business mogul, Emmanuel Oyedele Ashamu, has alerted the Lagos State Governor, Babajide Sanwo-Olu, and the general public on the “illegal and unlawful reallocation of the late businessman’s landed property in Agidingbi, Lagos.",National,https://thesun.ng/family-alerts-on-reallocation-of-late-bizmans-property-by-lagos-land-bureau/
88,The family also warned the general public that the administrators of the estate will “resist any unlawfulinterference” in their late patriarch’s property.,National,https://thesun.ng/family-alerts-on-reallocation-of-late-bizmans-property-by-lagos-land-bureau/
89,"The Ashamu Oyedele family, in a notice to the public said, among others, “This parcel of land belongs to the estate of late Chief Emmanuel Oyedele Ashamu by virtue of Deed of Conveyance, dated 12th of December, 1962, registered as No. 16, on Page 16, in Volume 600; Deed of Conveyance, dated 4th May, 1963, and registered as No. 56 on Page 56 in Volume 651; Deed of Conveyance dated 14th May, 1963 and registered as No. 57 on Page 57 in Volume 651; Deed of Conveyance dated 25th November, 1965 and registered as No. 10 on Page 10 in Volume 884 and; Deed of Assignment dated 30th June, 1973 and registered as No. 32 in 32 in Volume 1425 in the office of the Registrar of Titles, Land Registry, Alausa, Ikeja, Lagos, amongst other land transfer instruments.",National,https://thesun.ng/family-alerts-on-reallocation-of-late-bizmans-property-by-lagos-land-bureau/
90,“Members of the public are hereby warned to refrain from dealing with certain unscrupulous elements parading themselves as owners of the land and offering the land for sale.”,National,https://thesun.ng/family-alerts-on-reallocation-of-late-bizmans-property-by-lagos-land-bureau/
91,The family added that the administrators of the estate shall ensure that the trespassers are brought to book in accordance with the law.,National,https://thesun.ng/family-alerts-on-reallocation-of-late-bizmans-property-by-lagos-land-bureau/
92,They stated that their father’s ownership of the said reallocated property was backed by certified true copies of the deed of conveyance for the various tracts of land at land registry.,National,https://thesun.ng/family-alerts-on-reallocation-of-late-bizmans-property-by-lagos-land-bureau/
93,"According to the family, “In 1963, there was a compulsory acquisition of 601.2 acres of the land whose title was vested in Chief Emmanuel Oyedele Ashamu by the government of the Western Region, ostensibly for public purpose.",National,https://thesun.ng/family-alerts-on-reallocation-of-late-bizmans-property-by-lagos-land-bureau/
94,"“It is a mandatory requirement of the law that for a compulsory acquisition of land for public purpose to be valid, there must be prompt payment of compensation to the beneficial owner of the land.”",National,https://thesun.ng/family-alerts-on-reallocation-of-late-bizmans-property-by-lagos-land-bureau/
95,"The Oyedele Ashamu family continued that the government of the Western Region “failed to pay prompt compensation to the late Chief Emmanuel Oyedele Ashamu for the land, which was compulsorily acquired from him.”",National,https://thesun.ng/family-alerts-on-reallocation-of-late-bizmans-property-by-lagos-land-bureau/
96,"When Lagos State was created in 1967, the land purportedly acquired from Chief Emmanuel Oyedele Ashamu was transferred by the Government of Western Region to the Lagos State Government.",National,https://thesun.ng/family-alerts-on-reallocation-of-late-bizmans-property-by-lagos-land-bureau/
97,"“In 1969, the same land was again acquired by the Lagos State Government vide Lagos State Notice No. 236 of 14th of October, 1969, but without payment of any compensation to Chief Emmanuel Oyedele Ashamu as required by law.",National,https://thesun.ng/family-alerts-on-reallocation-of-late-bizmans-property-by-lagos-land-bureau/
98,"“In effect, the failure of the Lagos State Government to effect payment of compensation to Chief Emmanuel Oyedele Ashamu in respect of the land invalidates the compulsory acquisition of his land.",National,https://thesun.ng/family-alerts-on-reallocation-of-late-bizmans-property-by-lagos-land-bureau/
99,"“The upshot is that by virtue of Section 34(2) of the Land Use Act, Chief Emmanuel Oyedele Ashamu was the deemed holder of the Statutory Right of",National,https://thesun.ng/family-alerts-on-reallocation-of-late-bizmans-property-by-lagos-land-bureau/
100,"Occupancy in respect of the vast expanse of land situated at Agidingbi, Ikeja, Lagos, as at the time of his death on the 20th day of August, 1992. The right of occupancy, which was vested in him, devolved on our clients by operation of law.",National,https://thesun.ng/family-alerts-on-reallocation-of-late-bizmans-property-by-lagos-land-bureau/
101,"“Strangely, by a letter dated 8th April, 2025, the Lands Bureau, under the office of",National,https://thesun.ng/family-alerts-on-reallocation-of-late-bizmans-property-by-lagos-land-bureau/
102,"Mr. Governor, allocated to the Akinole Oshiun Family a portion of our clients’ land along Lateef Jakande Road, Agidingbi, Ikeja, Lagos, measuring an",National,https://thesun.ng/family-alerts-on-reallocation-of-late-bizmans-property-by-lagos-land-bureau/
103,area of 4177.936 square metres.,National,https://thesun.ng/family-alerts-on-reallocation-of-late-bizmans-property-by-lagos-land-bureau/
104,"“The allocation is wrongful, unlawful, invalid and unjustifiable in that our clients have a subsisting Statutory Right of Occupancy over the land. “",National,https://thesun.ng/family-alerts-on-reallocation-of-late-bizmans-property-by-lagos-land-bureau/
105,"FromScholastica Hir,Makurdi",National,https://thesun.ng/herdsmen-kill-former-pdp-chair-3-others-in-benue/
106,"Again, gunmen suspected to be herdsmen militia, have reportedlykilled four persons in communities of Guma Local Government Area (LGA) and Gwer-West LGA of Benue State.",National,https://thesun.ng/herdsmen-kill-former-pdp-chair-3-others-in-benue/
107,Our correspondent gathered that the killings occurred on Monday in a renewed round of attacks in the state.,National,https://thesun.ng/herdsmen-kill-former-pdp-chair-3-others-in-benue/
108,"It was gathered that the herders shot the immediate past Chairman of the Peoples Democratic Party (PDP) for Tse-Defam, Mba’akov Vengav, Avihijime council ward, in Gwer-West LGA, James Akase killing him on the spot.",National,https://thesun.ng/herdsmen-kill-former-pdp-chair-3-others-in-benue/
109,"It was also gathered that in a separate attack on the same day, the herdsmen killed three other persons in some communities in Guma LGA of the state.",National,https://thesun.ng/herdsmen-kill-former-pdp-chair-3-others-in-benue/
110,"A Public Analyst in the state, Tivta Samuel Aondohemba, who disclosed this to newsmen named the affected villages as Tse Ikpe Ago, along Yogbo-Gyungu Aze road in Mbayer/Yandev council ward, and Tse Kologa in Mbagune, Nyiev council ward, of Guma LGA.",National,https://thesun.ng/herdsmen-kill-former-pdp-chair-3-others-in-benue/
111,He said the attacks on the aforementioned communities were coordinated and unprovoked.,National,https://thesun.ng/herdsmen-kill-former-pdp-chair-3-others-in-benue/
112,"He explained that the multiple attacks by the herders, which occurred on Monday, left many other persons in the communities severely injured, while others were currently receiving treatment in various hospitals across the area.",National,https://thesun.ng/herdsmen-kill-former-pdp-chair-3-others-in-benue/
113,"Meanwhile, the current PDP ward chairman of Avihijime, council ward, Gwer-West LGA, Samuel Udam, noted that, Akase, a former ward chairman, who was displaced from his ancestral home, methis death when he went back to his ancestral home in search of food to sustain his family.",National,https://thesun.ng/herdsmen-kill-former-pdp-chair-3-others-in-benue/
114,"According to Udam, it was while on this mission that he was ambushed and killed by the armed herdsmen, who have virtually taken over the whole of Gwer-West LGA.",National,https://thesun.ng/herdsmen-kill-former-pdp-chair-3-others-in-benue/
115,"The Gwer-West LG chairman, Victor Ormin ,who confirmed the killing of the PDP chairman in the area, explained that, the deceased went to the farm to get some food when he met his death, adding that another man, who was kidnapped on Monday ,was released later in the night after his family paid the ransom demanded from them.",National,https://thesun.ng/herdsmen-kill-former-pdp-chair-3-others-in-benue/
116,"He saidthe attack launched by herdsmen on Tse Ikpe Ago, Mbayer/Yandev council ward, and Tse Kologa in Mbagune, Nyiev council ward, Guma LGA of the state, left three persons dead.",National,https://thesun.ng/herdsmen-kill-former-pdp-chair-3-others-in-benue/
117,"Samuel Aondohemba, said during the attack on Tse Ikpe Ago, one Bartholomew Ikornya, lost his life,while at Kologa village, Gabriel Korlaga and one Kunde, lost their lives. He also said one Akura, a native of the area, who was shot in the leg is currently receiving treatment at a government hospital in Makurdi.",National,https://thesun.ng/herdsmen-kill-former-pdp-chair-3-others-in-benue/
118,"“These senseless killings are yet another painful reminder of the unending bloodshed our people in Benue state continue to endure”, he said.",National,https://thesun.ng/herdsmen-kill-former-pdp-chair-3-others-in-benue/
119,"The Guma LGA chairman, Maurice Orwough, as well as the Police Public Relations Officer (PPRO) Benue State Command, CSP Catherine Anene could not be reached at the time of filing this report.",National,https://thesun.ng/herdsmen-kill-former-pdp-chair-3-others-in-benue/
